Radius,Mass,Period,SemiMajorAxis,EqTemp,Density,StarTemp,StarLum,StarMet,Insolation,Target_Habitable,Habitability_Score,Log_Period,Star_Type_G,Star_Type_K,Star_Type_M,Star_Type_Other
2.43,3368.9811142,1887.76,4.65,912.0,1.527272,4500.0,2.84,-0.03,62.3,0,0.11795592207881407,7.5436758080798825,False,False,False,True
2.43,174.80562385,123.05,0.54,912.0,1.527272,4500.0,1.99,-0.2,62.3,0,0.11795592207881407,4.82068471013781,False,False,False,True
2.43,432.24663352,307.88,0.83,912.0,1.527272,5004.0,-0.10297,-0.09,62.3,0,0.11795592207881407,5.7329528519559805,False,True,False,False
2.43,289.2253,392.6,1.0,912.0,1.527272,4414.0,1.69,-0.2,62.3,0,0.11795592207881407,5.975335165178098,False,True,False,False
2.43,540.311,733.0,1.7,912.0,1.527272,4534.0,1.64,-0.13,62.3,0,0.11795592207881407,6.598509028614515,False,False,False,True
2.43,508.5,2590.0,4.2,912.0,1.527272,4943.0,1.47,-0.19,62.3,0,0.11795592207881407,7.85979918056211,False,True,False,False
2.43,228.83645304,265.59,0.78,912.0,1.527272,5012.0,-0.10297,0.18,62.3,0,0.11795592207881407,5.58571189766377,False,True,False,False
14.68376472,4767.426105,11.12522242,1662.0,1303.0,1.527272,4993.0,0.35595,0.02,62.3,0,0.009824469311566669,2.495287780572825,False,True,False,False
2.43,1258.60049172,1198.48,2.06,912.0,1.527272,5000.0,-0.10297,-0.09,62.3,0,0.11795592207881407,7.0896434085267375,False,True,False,False
2.43,8.5,3.8728,0.0428,912.0,1.527272,4324.0,-1.022,-0.14,62.3,0,0.11795592207881407,1.5836687205401379,False,True,False,False
2.43,53.0,125.94,0.435,912.0,1.527272,4324.0,-1.022,-0.14,62.3,0,0.11795592207881407,4.843714533878324,False,True,False,False
2.43,12.7132,5.6,0.06,912.0,1.527272,4816.0,-0.10297,-0.06,62.3,0,0.11795592207881407,1.8870696490323797,False,False,False,True
2.43,104.0,237.6,0.68,912.0,1.527272,4746.0,-0.10297,-0.07,62.3,0,0.11795592207881407,5.474788509663815,False,True,False,False
2.43,187.5197,3.48777,0.04,912.0,1.527272,5393.0,-0.10297,0.38,62.3,0,0.11795592207881407,1.5013559191353472,False,False,False,True
